,bin_trial,split_by,type,samp,Unnamed: 0,subj_idx,response,rt,trial,feedback,upper_hpd,lower_hpd,up_err,low_err,model
0,0,0,observed,0.0,25048.88888888889,23.0,0.6666666666666666,1.0417555555555555,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,RLDDM_single_learning
1,0,0,simulated,5.5,71840.0,23.0,0.48,0.5202090909572288,1.0,0.47555555555555556,0.6,0.4222222222222222,0.12,0.05777777777777776,RLDDM_single_learning
2,0,1,observed,0.0,25049.88888888889,23.0,0.6666666666666666,0.8872666666666666,1.0,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,RLDDM_single_learning
3,0,1,simulated,5.5,72000.0,23.0,0.5266666666666666,0.6365622964113837,1.0,0.5222222222222223,0.6666666666666666,0.4222222222222222,0.14,0.1044444444444444,RLDDM_single_learning
4,1,0,observed,0.0,25050.88888888889,23.0,0.5333333333333333,1.0289555555555554,2.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.0,RLDDM_single_learning
5,1,0,simulated,5.5,71841.0,23.0,0.5244444444444445,0.5237668687351859,2.0,0.52,0.6222222222222222,0.4222222222222222,0.09777777777777774,0.10222222222222227,RLDDM_single_learning
6,1,1,observed,0.0,25051.88888888889,23.0,0.4666666666666667,0.7828444444444445,2.0,0.5555555555555556,0.4666666666666667,0.4666666666666667,0.0,0.0,RLDDM_single_learning
7,1,1,simulated,5.5,72001.0,23.0,0.5488888888888889,0.572855629744785,2.0,0.5044444444444445,0.6666666666666666,0.4,0.11777777777777776,0.14888888888888885,RLDDM_single_learning
8,2,0,observed,0.0,25052.88888888889,23.0,0.5555555555555556,0.9525777777777777,3.0,0.4666666666666667,0.5555555555555556,0.5555555555555556,0.0,0.0,RLDDM_single_learning
9,2,0,simulated,5.5,71842.0,23.0,0.6133333333333333,0.5176513131799845,3.0,0.5355555555555556,0.6666666666666666,0.4444444444444444,0.053333333333333344,0.16888888888888887,RLDDM_single_learning
10,2,1,observed,0.0,25053.88888888889,23.0,0.4,0.6560444444444444,3.0,0.5777777777777777,0.4,0.4,0.0,0.0,RLDDM_single_learning
11,2,1,simulated,5.5,72002.0,23.0,0.5755555555555556,0.5616400741893325,3.0,0.52,0.6666666666666666,0.4666666666666667,0.09111111111111103,0.10888888888888892,RLDDM_single_learning
12,3,0,observed,0.0,25054.88888888889,23.0,0.4666666666666667,0.8764000000000001,4.0,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.0,0.0,RLDDM_single_learning
13,3,0,simulated,5.5,71843.0,23.0,0.5911111111111111,0.5261202020687872,4.0,0.5533333333333333,0.7111111111111111,0.4888888888888889,0.12,0.10222222222222227,RLDDM_single_learning
14,3,1,observed,0.0,25055.88888888889,23.0,0.4666666666666667,0.7687333333333334,4.0,0.4888888888888889,0.4666666666666667,0.4666666666666667,0.0,0.0,RLDDM_single_learning
15,3,1,simulated,5.5,72003.0,23.0,0.5955555555555556,0.5621667408560794,4.0,0.5133333333333333,0.7111111111111111,0.4666666666666667,0.11555555555555552,0.12888888888888894,RLDDM_single_learning
16,4,0,observed,0.0,25056.88888888889,23.0,0.5111111111111111,0.7696666666666666,5.0,0.5333333333333333,0.5111111111111111,0.5111111111111111,0.0,0.0,RLDDM_single_learning
17,4,0,simulated,5.5,71844.0,23.0,0.5911111111111111,0.5350357576243457,5.0,0.5577777777777777,0.7111111111111111,0.4222222222222222,0.12,0.16888888888888892,RLDDM_single_learning
18,4,1,observed,0.0,25057.88888888889,23.0,0.4888888888888889,0.6040222222222222,5.0,0.4444444444444444,0.4888888888888889,0.4888888888888889,0.0,0.0,RLDDM_single_learning
19,4,1,simulated,5.5,72004.0,23.0,0.5533333333333333,0.5403711853003474,5.0,0.5466666666666666,0.6,0.4666666666666667,0.046666666666666634,0.08666666666666667,RLDDM_single_learning
20,5,0,observed,0.0,25058.88888888889,23.0,0.5333333333333333,0.8265777777777777,6.0,0.4888888888888889,0.5333333333333333,0.5333333333333333,0.0,0.0,RLDDM_single_learning
21,5,0,simulated,5.5,71845.0,23.0,0.6066666666666667,0.5031246465132863,6.0,0.5333333333333333,0.7333333333333333,0.5111111111111111,0.1266666666666666,0.09555555555555562,RLDDM_single_learning
22,5,1,observed,0.0,25059.88888888889,23.0,0.4,0.5794,6.0,0.5111111111111111,0.4,0.4,0.0,0.0,RLDDM_single_learning
23,5,1,simulated,5.5,72005.0,23.0,0.611111111111111,0.5456845186339141,6.0,0.5266666666666666,0.7333333333333333,0.4888888888888889,0.12222222222222223,0.12222222222222218,RLDDM_single_learning
24,6,0,observed,0.0,25060.88888888889,23.0,0.5333333333333333,0.9251555555555555,7.0,0.5555555555555556,0.5333333333333333,0.5333333333333333,0.0,0.0,RLDDM_single_learning
25,6,0,simulated,5.5,71846.0,23.0,0.6266666666666667,0.4993624242911429,7.0,0.5222222222222223,0.7333333333333333,0.5333333333333333,0.10666666666666658,0.09333333333333338,RLDDM_single_learning
26,6,1,observed,0.0,25061.88888888889,23.0,0.35555555555555557,0.541511111111111,7.0,0.4888888888888889,0.35555555555555557,0.35555555555555557,0.0,0.0,RLDDM_single_learning
27,6,1,simulated,5.5,72006.0,23.0,0.6,0.5718200741894338,7.0,0.5533333333333333,0.6888888888888889,0.4222222222222222,0.0888888888888889,0.17777777777777776,RLDDM_single_learning
28,7,0,observed,0.0,25062.88888888889,23.0,0.4444444444444444,0.7860222222222223,8.0,0.4222222222222222,0.4444444444444444,0.4444444444444444,0.0,0.0,RLDDM_single_learning
29,7,0,simulated,5.5,71847.0,23.0,0.6244444444444445,0.5262246465133652,8.0,0.5711111111111111,0.7111111111111111,0.4666666666666667,0.08666666666666667,0.1577777777777778,RLDDM_single_learning
30,7,1,observed,0.0,25063.88888888889,23.0,0.3333333333333333,0.6330444444444444,8.0,0.4222222222222222,0.3333333333333333,0.3333333333333333,0.0,0.0,RLDDM_single_learning
31,7,1,simulated,5.5,72007.0,23.0,0.6,0.5439711853005357,8.0,0.5688888888888889,0.7333333333333333,0.4666666666666667,0.1333333333333333,0.1333333333333333,RLDDM_single_learning
32,8,0,observed,0.0,25064.88888888889,23.0,0.5333333333333333,0.8558888888888889,9.0,0.5111111111111111,0.5333333333333333,0.5333333333333333,0.0,0.0,RLDDM_single_learning
33,8,0,simulated,5.5,71848.0,23.0,0.6288888888888888,0.5253735354022716,9.0,0.5666666666666667,0.7333333333333333,0.4666666666666667,0.10444444444444445,0.16222222222222216,RLDDM_single_learning
34,8,1,observed,0.0,25065.88888888889,23.0,0.4888888888888889,0.6926444444444445,9.0,0.5111111111111111,0.4888888888888889,0.4888888888888889,0.0,0.0,RLDDM_single_learning
35,8,1,simulated,5.5,72008.0,23.0,0.6288888888888888,0.5541022964117659,9.0,0.5288888888888889,0.7555555555555555,0.5333333333333333,0.1266666666666667,0.0955555555555555,RLDDM_single_learning
36,9,0,observed,0.0,25066.88888888889,23.0,0.4222222222222222,0.7551111111111111,10.0,0.5777777777777777,0.4222222222222222,0.4222222222222222,0.0,0.0,RLDDM_single_learning
37,9,0,simulated,5.5,71849.0,23.0,0.5977777777777777,0.49523575762435906,10.0,0.5399999999999999,0.7555555555555555,0.4444444444444444,0.1577777777777778,0.15333333333333332,RLDDM_single_learning
